"Scientific Name, Common name, Family",Family,Locality factors,Phenology,Silvicultural Characteristic,Regeneration,Silviculture System,Utilization
Tectona grandis (Teak) Verbenaceae,Verbenaceae,"• Naturally below 24°N latitude
• Light demander
• Tropical deciduous forest
• Fire resistant → pure teak in fire-prone localities
• Moderately wind firm
• drought sensitive","• Leaf fall → Nov-Jan
• Leaf renewal → April-June
• Flowering → June-Sept
• Fruiting → Nov-Jan",• Medium Size,"• Fire → remove hard coat dormancy
• Great coppice → after fire
• Natural: Seed, Coppice
• Artificial
    ◦ Stump, Seed, Coppice
    ◦ Dona plantation
    ◦ Polybag
• Alternate wet-dry for 14 days
• Spacing: 1.8⨉1.8 m initially
• Coppice, Pollard",- Block and boundary plantation in North India,"Timber,Furniture,Construction"
"Gmelina arborea (Gamhar, White Teak) Verbenaceae",Verbenaceae,"• Sub-Himalaya to central India to peninsular India
• Assam valley
• Moist, Fertile valley
• Found alongside Teak forest","• Deciduous
• Moderate size
• Leaf fall – January to February
• Leaf renewal - March to April
• Fruiting – April to July","• Light demander
• Moderate resistance – frost, drought
• Good coppicer
• Poor root sucker","• Natural
    ◦ Seed
    ◦ coppice
• Artificial
    ◦ Seed - broadcasted
    ◦ Coppice
    ◦ Cutting — root section, stump
    ◦ Stump planting – one year old stump
• Alternate wetting and drying",,"Plywood,Household implements"
"Albizia lebbeck (Kala Siris, East Indian Walnut) Leguminosae",Leguminosae,"• All India - from Sub-Himalaya to Andaman and Nicobar Islands
• Rainfall - 80-300 cm
• Temperature - 20°C-40°C
• Altitude - upto 1500 m
• drought hardy","• LF – December – February
• LR – March – April
• Flower – April – May
• Fruit– December – February","• Light demander
• Superficial root system – susceptible to wind-throw, drought
• Moderately sensitive to frost
• Good Coppicer
• Good root sucker","• Natural
    ◦ Seed
    ◦ Coppice
    ◦ Root sucker
• Artificial
    ◦ 30 minute hot water treatment on seed
    ◦ stump - 30 cm pit, 3m ⨉ 3m",,"Cattle fodder,Gum,Fuelwood,Timber for carving,Afforestation in semi-arid areas"
Albizia procera (Safed Sirish) Leguminosae,Leguminosae,"• North India, Central India, Andaman
• along waterbodies and savannah","• Large
• Deciduous","• Drought resistant
• resistant to saline and alkaline conditions
• shade then light",,,"timber, paper, tannin, fodder, fuelwood"
Santalum album (Sandalwood) Santalaceae,Santalaceae,"• Peninsular region - Karnataka, TN, MH
• Tropical dry and moist deciduous forest
• red soil ✅
• Saline water ❌
• 60-120 cm
• 25-35°C
• Altitude- 500-1000 m
• Topography - undulating - upto moderate slope","• Small size
• Evergreen
• LR – before and after monsoon
• Flower – May – June
• Fruit – October – December","• Shed then Light
• Susceptible – frost, fire
• sustain moderate drought
• coppice, root sucker
• Root parasitism
    ◦ Derives nitrogen and phosphorus from root host with the help of Haustoria – parasite plant root, because it lacks root hair
• illicit fellings
• spike disease - by Mycoplasma
• obligatory root parasite
• hosts - Pongamia globra, Azadirachta indica, Cassia siamia","• Natural
    ◦ Seed
    ◦ Coppice
    ◦ Root sucker
• Artificial
    ◦ Direct seed sowing
    ◦ Polybag
    ◦ Stump
    ◦ Air layering
• Acid scarification",,"Perfume,Heartwood oil,Wood for chandan havan"
Salix alba (White willow),Salicaceae,"• Western Himalaya
• along riverside and Lake Banks
• ecto-mycorrhiza
• appropriate for cold desert
• origin: Europe",,• Pollarding,• nursery — stem cutting,,• cricket bat
Lagerstromia Lancelolata (Nandi Tree) Lythraceae,Lythraceae,"• with Teak, except on Laterite soil
• small, bushy tree",,,,,"• ornamental
• timber"
Semecarpus anacardium (Marking nut tree) Anacardiaceae,Anacardiaceae,"• Sub-Himalayan region
• Medium sized 
• deciduous",,,,,
Pterocarpus marsupium (Malabar kino) Leguminosae,Leguminosae,• dry deciduous tropical,,,,,"• oleo-resin ⇒ Kino gum: anti-diarrhoeal, anti-hemorrhagic
• heartwood - antibiotic, hypoglyceamic → control blood sugar"
Shorea robusta  (Sal) Dipterocarpaceae,Dipterocarpaceae,"• Above tropic of cancer (warm sub-tropical climate)
• 5-40°C
• 100-300 cm
• Altitude - upto 1000 m
• Sandy loamy soil","• Deciduous
• Medium – 10–15 m
• Round crown
• Clean Bole
• Dieback phenomena
• LF – March
• LR – February– May
• Flower – February – April
• Fruit - May - June
","• Light demander
• Moderate coppicing
• Frost – die back
• Fire hardy
• drought susceptible","• Natural – seed
• Artificial
    ◦ Direct sowing
    ◦ coppice
    ◦ Planting out - to solve die back problem","Uniform shelterwood → die back → irregular shelterwood, selection, coppice with standards","Timber,Seed oil for cooking"
Dipterocarpus spp. - Hygrophilous,Dipterocarpaceae,"• shade bearer
• fire tender
• sporadically in tropical wet evergreen
• ecto-mycorrhiza",,,poor coppicer,,"timber, essential oils, tannin, oilseed"
Dipterocarpus spp.  - Xerophilous,Dipterocarpaceae,"• Light demander
• fire hardy
• gregariously in tropical deciduous forest
• ecto-mycorrhiza",,,good coppicer,,"timber, essential oils, tannin, oilseed"
Dalbergia sissoo (Sisham - Indian Rosewood) - Leguminosae,Leguminosae,"• Himalayan tract, North Indian plain
• Alluvial around river
• light demander
• frost hardy
• drought hardy
• root rot disease
• -25°C to 35°C
• 80–300 cm
• Up to 1000 m","• Deciduous
• Large size - 20–30 m
• Dimorphous root - both vertical and horizontal
• LF – November – January
• LR – February
• Flower – March – April
• Fruit
    ◦ Young – April – July
    ◦ Ripe – November – January","• Good coppicer
• Root sucker","• Natural
    ◦ Seed
    ◦ Coppice
    ◦ Root sucker
• Artificial
    ◦ Stump Planting
    ◦ 48 hour water soaking
    ◦ 4m x 4m Spacing","• Irrigated plantations of Punjab and Haryana - coppice with standards ","Furniture,Cart wheels,Agricultural implements"
Dalbergia latifolia (Rosewood) - Leguminosae,Leguminosae,"• sub-Himalayan tract to south India
• moist soil besides perennial rivera
• light demander, frost tender
• moderate drought hardy","• Deciduous
• Large size - 20–30 m
• Dimorphous root - both vertical and horizontal",• good coppicer,• stump planting,,"Furniture,Cart wheels,Agricultural implements"
Anogeissus latifolia / Terminali anogeissiana (Axlewood) Combretaceae,Combretaceae,"• Sub Himalayan to south India
• Light demander",,,,,"• Gums used in medicine, printing press
• fodder"
"Tamarindus indica (Imli, Tamarind) Leguminosae",Leguminosae,"• Native to tropical Africa, now pan-India
• Commercial cultivation in Tamil Nadu
• Black soil appropriate
• Tropical heat – up to 47°C
• 50–150 cm","• Medium to large size – 24 m
• Girth – 7 m
• Bark
    ◦ Dark grey
    ◦ Vertical and horizontal fissures
• LR – May
• Flower – April – July
• Fruit – winter","• Tolerates water logging
• Light demanding
• Cannot tolerate – frost, drought
• Deep root
• Slow growing
• Good coppicer
• Root sucker","• Natural
    ◦ Seed
    ◦ coppice
• Artificial
    ◦ Direct seed sowing
    ◦ Coppice
    ◦ Plant raised from nursery - space",,"Tamil cuisine,Sizing powder in cotton and Jute industry"
Emblica officinalis (Amla) - Euphorbiaceae,Euphorbiaceae,"• hardy → various soils
• commercial in UP, TN
• dry sub tropical climate
• drought sensitive","• medium
• deciduous",,"• Artificial
  • seedling, budding, softwood grafting",,"• rich vitamin C source
• dried fruits - cough, haemorrhages, anaemia
• ingredient in Ayurvedic
• murabba, candy"
Hardwickia binata (Anjan) Leguminosae,Leguminosae,• light demander,"• medium
• deciduous",,,,"• timber
• fodder → leaves and stem
• fiber → ropes"
Chukrasia tabularis (Indian mahogany) Meliaceae,Meliaceae,"• tropical evergreen and semi-evergreen
• light demander
• frost and drought sensitive
",,• strong coppicer,,,house construction
Terminalis tomentosa / Terminalia elliptica (Sain) Combretaceae,Combretaceae,"• North, West, Central India
• Moderate light demander
• deep root - wind firm",,"• coppice, root sucker, pollard",,,timber
Anthocephalus cadamba (Kadam) Rubiaceae,Rubiaceae,"• pioneer in riverine succession
• shed then light",,,,,
Acacia nilotica (Babool) Leguminosae,Leguminosae,"• tropical dry deciduous, subtropical dry deciduous
• North plains to MH
• hardy to Black cotton soil damage, drought - phreatophyte, moderate frost
• light demander
• suitable for water logging","• medium
• deciduous",,• remove seed coat dormancy,• clear felling + artificial regeneration,"• energy plantation
• fodder
• fuelwood
• timber
• tannin from bark and pod"
Acacia catechu (Khair) Leguminosae,Leguminosae,"• throughout except Arid Rajasthan, high altitude
• strong light demander
• heavy browsing pressure",,• good coppice,,,"• kattha
• catechin
• timber"
Azadirachta indica (Neem) Meliaceae,Meliaceae,"• tropical dry deciduous and thorn
• light demander
• fire and frost sensitive
• drought hardy - phreatophyte",• almost evergreen,,,,
"Eucalyptus spp. (Safeda, Nilgiri) Myrtaceae",Myrtaceae,"• E. hybrid, E. tereticornis, E. globulus → pan India
• E. cameldulensis → Semi-Arid
• E. grandis → High rainfall
• light demander
• wind firm
• suitable for water logging
• some species - thick bark → fire resistant
• water guzzling
• ecto-mycorrhiza
• no grazing issue","• large size
• deciduous
• cylindrical crown",,"• seed → poor, except Nilgiri hills
• coppice",,"• fibre, paper
• timber
• gums
• leaf oil"
Populus deltoides (Poplar) Salicaceae,Salicaceae,"• exotic : temperate region
• J&K → UK
• water-logging sensitive
• resistant to wind and frost","• medium size
• cylindrical crown",,• artificial - cutting - 2yo in winter - 4x4m spacing,,• fibre for paper
Casuarina equisetifolia (Beefwood) Casuarinaceae,Casuarinaceae,"• coastal
• thrives in tropical conditions
• light demander
• well-drained sandy soil needed
• extremely sensitive to drought
• nodular bacteria - Frankia - symbiotic
• exto-mycorrhiza","• evergreen
• resembles conifers
• medium size
• conical crown
• extensive deep root",• poor coppice,"• seed, coppice, root sucker
• naked root and ball of earth plantation","• protection → clear felling 10/20 year rotation
• fuelwood → 7-10 year rotation","• protection
• afforestation of barren, shifting sand dunes
• aesthetic"
Prosopis juliflora (Mesquite bean) - Leguminosae,Leguminosae,"• drought hardy - phreatophyte
• frost resistant
• light demander
• native — Mexico","• medium size
• evergreen  ","• good coppice, root sucker",,,
Acacia auriculiformals (Australian wattle) Leguminosae,Leguminosae,"• native to Australia
• India - peninsula
• light demander
• fire tender
• drought tolerant","• medium
• evergreen","• bad coppice, good root sucker in India","• seed, root sucker",,"• fuelwood
• timber
• pulp
• shade
• ornamental
• wasteland reclamation"
Pinus roxburghii (Chir Pine) Pinaceae,Pinaceae,"• outer Himalaya (Shivalik foothills)
• sub tropical climate
• light demander
• extensive - V+H roots → wind firm
• frost hardy
• thick corky bark → fire hardy
• ecto-mycorrhiza",,,"seed, direct plantation",,"• furniture
• packaging
• house
• railway
• resin"
Cedrus deodara (Deodar) Pinaceae,Pinaceae,"• 1.5-3.0 km altitude
• western Himalaya
• better on northernly aspect
• light demander
• wind hardy
• frost hardy
• snow - injurious in dense
  - benefits - moisture, seed protection
• ecto-mycorrhiza","• large
• evergreen",,,• irregular shelterwood,
Abies pindrow (Silver fur) Pinaceae,Pinaceae,"• 2.5-3.5 km altitude
• Afghanistan to Arunachal
• associated with heavy snowfall and accumulation
• frost hardy
• short branches → no snow break
• root not extensive → wind throw
• shade demander","• very tall
• evergreen
• cylindrical crown",,"• good seed 3-4 years
• plantation 2m x 2m","• Punjab shelterwood
• selection","• packaging
• furniture
• railway
• pulp
• non-refractory wood"
Bombax ceiba (cotton tree) Malvaceae,Malvaceae,"• Pan India except arid
• light demander
• bark → fire resistant
• drought resistant
• frost sensitive","• large
• deciduous
• thorny bole and buttressing",• good coppice,"• root section cutting
• stump cutting",,"• tea boxes
• matchsticks
• flosses
• gum — medicine, cosmetics"
Butea monosperma (Palas) Leguminosae,Leguminosae,"• tropical and subtropical
• drought resistant","• medium
• deciduous",,• seed coppice root sucker,,"• ornamental
• host for lac
• bark → butea gum / Bengal kino
• flowers - red dye"
Dendrocalamus strictus (Male bamboo) Graminae,Poaceae,,,,,,